Shift JIS,ＪＩＳ,記号,PC-Talker,XP Reader,VDM,JAWS 6.2,フォネティック読み,日本語通用名称,記号の読み,文字種別,大文字／小文字,,,読みの重複,
8260,2341,Ａ,アルファ,エービー,アルファ,アルファ,アニマル,,エイ,ラテン文字,大文字,,,＊＊,ロシア文字と同じ読み
8261,2342,Ｂ,ブラボー,ボーイ,ブラボー,ブラボー,ボーイ,,ビー,ラテン文字,大文字,,,,
8262,2343,Ｃ,チャーリー,キャット,チャーリー,チャーリー,キャット,,シー,ラテン文字,大文字,,,,
8263,2344,Ｄ,デルタ,ダイ,デルタ,デルタ,デスク,,ディー,ラテン文字,大文字,,,,
8264,2345,Ｅ,エコー,イート,エコー,エコー,エッグ,,イー,ラテン文字,大文字,,,＊＊,ロシア文字と同じ読み
8265,2346,Ｆ,フォックスロット,ファイン,フォックスロット,フォックストロット,フレンド,,エフ,ラテン文字,大文字,,,＊＊,ロシア文字と同じ読み
8266,2347,Ｇ,ゴルフ,グッド,ゴルフ,ゴルフ,ゴルフ,,ジー,ラテン文字,大文字,,,,
8267,2348,Ｈ,ホテル,ホーム,ホテル,ホテル,ホテル,,エイチ,ラテン文字,大文字,,,,
8268,2349,Ｉ,インディア,インデックス,インディア,インディア,インク,,アイ,ラテン文字,大文字,,,,
8269,234A,Ｊ,ジュリエット,ジャパン,ジュリエット,ジュリエット,ジャパン,,ジェイ,ラテン文字,大文字,,,,
826A,234B,Ｋ,キロ,カインド,キロー,キロー,キッチン,,ケイ,ラテン文字,大文字,,,,
826B,234C,Ｌ,リマ,ラム,リマ,リマ,ラブ,,エル,ラテン文字,大文字,,,＊＊,ロシア文字と同じ読み
826C,234D,Ｍ,マイク,マックス,マイク,マイク,マイク,,エム,ラテン文字,大文字,,,＊＊,ロシア文字と同じ読み
826D,234E,Ｎ,ノベンバー,ノット,ノベンバー,ノベンバー,ノベンバー,,エヌ,ラテン文字,大文字,,,＊＊,ロシア文字と同じ読み
826E,234F,Ｏ,オスカ,オープン,オスカ,オスカー,オープン,,オー,ラテン文字,大文字,,,＊＊,ロシア文字と同じ読み
826F,2350,Ｐ,パパ,ピンク,パパ,パパ,パパ,,ピー,ラテン文字,大文字,,,,
8270,2351,Ｑ,ケベック,クワイアット,ケベック,ケベック,クエスチョン,,キュー,ラテン文字,大文字,,,,
8271,2352,Ｒ,ロミオ,ライド,ロミオ,ロミオ,ルーム,,アール,ラテン文字,大文字,,,,
8272,2353,Ｓ,シアラ,ソフト,シアラ,シアラ,スポーツ,,エス,ラテン文字,大文字,,,＊＊,ロシア文字と同じ読み
8273,2354,Ｔ,タンゴ,タイム,タンゴ,タンゴ,タイム,,ティー,ラテン文字,大文字,,,,
8274,2355,Ｕ,ユニフォーム,ユースフル,ユニフォーム,ユニフォーム,ユージュアリー,,ユー,ラテン文字,大文字,,,＊＊,ロシア文字と同じ読み
8275,2356,Ｖ,ビクタ,ヴィクトリー,ビクタ,ビクタ,ビデオ,,ブイ,ラテン文字,大文字,,,,
8276,2357,Ｗ,ウィスキー,ウーマン,ウィスキー,ウィスキー,ウィンドウ,,ダブリュー,ラテン文字,大文字,,,,
8277,2358,Ｘ,エクスレイ,ゼロックス,エクスレイ,エックスレイ,エックスセン,,エックス,ラテン文字,大文字,,,,
8278,2359,Ｙ,ヤンキー,イエロー,ヤンキ,ヤンキー,ヤング,,ワイ,ラテン文字,大文字,,,,
8279,235A,Ｚ,ズル,ゼブラ,ズル,ズール,ズー,,ゼット,ラテン文字,大文字,,,,
8281,2361,ａ,アルファ,エービー,アルファ,アルファ,アニマル,,エイ,ラテン文字,小文字,,,＊＊,ロシア文字と同じ読み
8282,2362,ｂ,ブラボー,ボーイ,ブラボー,ブラボー,ボーイ,,ビー,ラテン文字,小文字,,,,
8283,2363,ｃ,チャーリー,キャット,チャーリー,チャーリー,キャット,,シー,ラテン文字,小文字,,,,
8284,2364,ｄ,デルタ,ダイ,デルタ,デルタ,デスク,,ディー,ラテン文字,小文字,,,,
8285,2365,ｅ,エコー,イート,エコー,エコー,エッグ,,イー,ラテン文字,小文字,,,＊＊,ロシア文字と同じ読み
8286,2366,ｆ,フォックスロット,ファイン,フォックスロット,フォックストロット,フレンド,,エフ,ラテン文字,小文字,,,＊＊,ロシア文字と同じ読み
8287,2367,ｇ,ゴルフ,グッド,ゴルフ,ゴルフ,ゴルフ,,ジー,ラテン文字,小文字,,,,
8288,2368,ｈ,ホテル,ホーム,ホテル,ホテル,ホテル,,エイチ,ラテン文字,小文字,,,,
8289,2369,ｉ,インディア,インデックス,インディア,インディア,インク,,アイ,ラテン文字,小文字,,,,
828A,236A,ｊ,ジュリエット,ジャパン,ジュリエット,ジュリエット,ジャパン,,ジェイ,ラテン文字,小文字,,,,
828B,236B,ｋ,キロ,カインド,キロー,キロー,キッチン,,ケイ,ラテン文字,小文字,,,,
828C,236C,ｌ,リマ,ラム,リマ,リマ,ラブ,,エル,ラテン文字,小文字,,,＊＊,ロシア文字と同じ読み
828D,236D,ｍ,マイク,マックス,マイク,マイク,マイク,,エム,ラテン文字,小文字,,,＊＊,ロシア文字と同じ読み
828E,236E,ｎ,ノベンバー,ノット,ノベンバー,ノベンバー,ノベンバー,,エヌ,ラテン文字,小文字,,,＊＊,ロシア文字と同じ読み
828F,236F,ｏ,オスカ,オープン,オスカ,オスカー,オープン,,オー,ラテン文字,小文字,,,＊＊,ロシア文字と同じ読み
8290,2370,ｐ,パパ,ピンク,パパ,パパ,パパ,,ピー,ラテン文字,小文字,,,,
8291,2371,ｑ,ケベック,クワイアット,ケベック,ケベック,クエスチョン,,キュー,ラテン文字,小文字,,,,
8292,2372,ｒ,ロミオ,ライド,ロミオ,ロミオ,ルーム,,アール,ラテン文字,小文字,,,,
8293,2373,ｓ,シアラ,ソフト,シアラ,シアラ,スポーツ,,エス,ラテン文字,小文字,,,＊＊,ロシア文字と同じ読み
8294,2374,ｔ,タンゴ,タイム,タンゴ,タンゴ,タイム,,ティー,ラテン文字,小文字,,,,
8295,2375,ｕ,ユニフォーム,ユースフル,ユニフォーム,ユニフォーム,ユージュアリー,,ユー,ラテン文字,小文字,,,＊＊,ロシア文字と同じ読み
8296,2376,ｖ,ビクタ,ヴィクトリー,ビクタ,ビクタ,ビデオ,,ブイ,ラテン文字,小文字,,,,
8297,2377,ｗ,ウィスキー,ウーマン,ウィスキー,ウィスキー,ウィンドウ,,ダブリュー,ラテン文字,小文字,,,,
8298,2378,ｘ,エクスレイ,ゼロックス,エクスレイ,エックスレイ,エックスセン,,エックス,ラテン文字,小文字,,,,
8299,2379,ｙ,ヤンキー,イエロー,ヤンキ,ヤンキー,ヤング,,ワイ,ラテン文字,小文字,,,,
829A,237A,ｚ,ズル,ゼブラ,ズル,ズール,ズー,,ゼット,ラテン文字,小文字,,,,
829F,2421,ぁ,チイサイア,チイサイアサヒ,チイサイア,チイサイア,チイサイアサヒノア,,チイサイア,平仮名,,,,,
82A0,2422,あ,アサヒノア,（ひらがな省略）アサヒ,アサヒノア,アサヒノア,アサヒノア,,ア,平仮名,,,,,
82A1,2423,ぃ,チイサイイ,チイサイイロハ,チイサイイ,チイサイイ,チイサイイチゴノイ,,チイサイイ,平仮名,,,,,
