Shift JIS,ＪＩＳ,記号,PC-Talker,XP Reader,VDM,JAWS 6.2,日本語通用名称,記号の読み,文字種別,大文字／小文字,フォネティック読み,,読みの重複,
8140,2121,　,,,,,和字間隔,スペース,記号,,,,,
8141,2122,、,テン,テン,テン,テン,読点,テン,記号,,,,,
8142,2123,。,マル,マル,マル,マル,句点,マル,記号,,,,,
8143,2124,，,コンマ,コンマ,コンマ,カンマ,コンマ,コンマ,記号,,,,,
8144,2125,．,ピリオド,ピリオド,ピリオド,ピリオド,ピリオド,ピリオド,記号,,,,,
8145,2126,・,ナカテン,ナカテン,ナカテン,ナカテン,中点,ナカテン,記号,,,,,
8146,2127,：,コロン,コロン,コロン,コロン,コロン,コロン,記号,,,,,
8147,2128,；,セミコロン,セミコロン,セミコロン,セミコロン,セミコロン,セミコロン,記号,,,,,
8148,2129,？,クエッション,クエッション,クエッション,クエスチョン,疑問符,クエスチョン,記号,,,,,
8149,212A,！,カンタンフ,カンタンフ,カンタンフ,カンタンフ,感嘆符,カンタンフ,記号,,,,,
814A,212B,゛,ダクテン,ダクテン,ダクテン,ダクテン,濁点,ダクテン,記号,,,,,
814B,212C,゜,ハンダクテン,ハンダクテン,ハンダクテン,ハンダクテン,半濁点,ハンダクテン,記号,,,,,
814C,212D,´,テデュー,アクサンテデュー,テデュー,アクサンテデュー,アクサンテギュ、アキュートアクセント、プライム記号,アクサンテギュ,記号,,,,,
814D,212E,｀,グラーブ,アクサングラーブ,グラーブ,アクサングラーブ,アクサングラーブ、グレーブアクセント,アクサングラーブ,記号,,,,,
814E,212F,¨,ウムラウト,ウムラウト,ウムラウト,ウムラウト,ウムラウト、ダイエレシス,ウムラウト,記号,,,,,
814F,2130,＾,ベキジョウ,ベキジョウ,ベキジョウ,ベキジョウ,アクサンシルコンフレックス、サーカムフレックスアクセント,ベキジョウ,記号,,,,,
8150,2131,￣,オーバーライン,オーバーライン,オーバーライン,オーバーライン,オーバーライン、論理否定記号,オーバーライン,記号,,,,,
8151,2132,＿,アンダーライン,アンダーライン,アンダーライン,アンダー,アンダーライン,アンダーライン,記号,,,,,
8152,2133,ヽ,クリカエシ,クリカエシ,クリカエシ,カタカナクリカエシ,片仮名繰返し記号,クリカエシ,片仮名,,,,,
8153,2134,ヾ,クリカエシダクテン,クリカエシダクテン,クリカエシダクテン,カタカナダクテンクリカエシ,片仮名繰返し記号（濁点）,クリカエシダクテン,片仮名,,,,,
8154,2135,ゝ,クリカエシ,クリカエシ,クリカエシ,ヒラガナクリカエシ,平仮名繰返し記号,クリカエシ,平仮名,,,,,
8155,2136,ゞ,クリカエシダクテン,クリカエシダクテン,クリカエシダクテン,ヒラガナダクテンクリカエシ,平仮名繰返し記号（濁点）,クリカエシダクテン,平仮名,,,,,
8156,2137,〃,オナジク,オナジク,オナジク,オナジク,同じく記号,オナジク,記号,,,,,
8157,2138,仝,ドウジョウ,ドウジョウ,ドウジョウ,ドウジョウ,同上記号,ドウジョウ,記号,,,,,
8158,2139,々,オドリジ,オドリジ,オドリジ,クリカエシキゴウ,繰返し記号,オドリジ,記号,,,,,
8159,213A,〆,シメ,シメ,シメ,シメ,しめ,シメ,記号,,,,,
815A,213B,〇,ゼロ,レー,ゼロ,ゼロ,漢数字ゼロ,ゼロ,漢数字,,,,,
815B,213C,ー,バー,チョウオン,バー,チョウオン,長音記号,チョウオン,記号,,,,,
815C,213D,―,バー,ダッシュ,バー,ダッシュ,ダッシュ（全角）,バー,記号,,,,,
815D,213E,‐,ハイフン,ハイフン,ハイフン,ハイフン,ハイフン（四分）,ハイフン,記号,,,,,
815E,213F,／,スラッシュ,スラッシュ,スラッシュ,スラッシュ,斜線,スラッシュ,記号,,,,,
815F,2140,＼,ギャクスラッシュ,ギャクスラッシュ,ギャクスラッシュ,バックスラッシュ,逆斜線,バックスラッシュ,記号,,,,,
8160,2141,～,ナミセン,ナミセン,ナミセン,ナミセン,波ダッシュ,ナミセン,記号,,,,,
8161,2142,∥,タテヘイコウ,タテヘイコウ,タテヘイコウ,ヘイコウ,双柱,タテヘイコウ,記号,,,,,
8162,2143,｜,タテボウ,タテボウ,タテボウ,タテセン,縦線,タテセン,記号,,,,＊＊,84A0と同じ読み
8163,2144,…,テンテンテン,サンテン,テンテンテン,サンテン,三点リーダ,テンテンテン,記号,,,,,
8164,2145,‥,テンテン,ニテン,テンテン,ニテン,二点リーダ,テンテン,記号,,,,,
8165,2146,‘,シングル,シングル,シングル,ヒダリインヨウフ,左シングル引用符,シングル,記号,,,,,
8166,2147,’,シングルトジ,トジシングル,シングルトジ,ミギインヨウフ,右シングル引用符,トジシングル,記号,,,,,
8167,2148,“,クォーテーション,クォーテーション,クォーテーション,ヒダリニジュウインヨウフ,左ダブル引用符,クォーテーション,記号,,,,,
8168,2149,”,クォーテーショントジ,トジクォーテーション,クォーテーショントジ,ミギニジュウインヨウフ,右ダブル引用符,トジクォーテーション,記号,,,,,
8169,214A,（,カッコ,カッコ,カッコ,カッコヒラキ,始め小括弧、始め丸括弧,カッコ,記号,,,,,
816A,214B,）,カッコトジ,トジカッコ,カッコトジ,カッコトジ,終わり小括弧、終わり丸括弧,トジカッコ,記号,,,,,
816B,214C,〔,キッコウ,キッコウ,キッコウ,キッコウ,始めきっこう（亀甲）括弧,キッコウ,記号,,,,,
816C,214D,〕,キッコウトジ,トジキッコウ,キッコウトジ,トジキッコウ,終わりきっこう（亀甲）括弧,トジキッコウ,記号,,,,,
816D,214E,［,カクカッコ,カクカッコ,カクカッコ,ダイカッコヒラキ,始め大括弧、始め角括弧,カクカッコ,記号,,,,,
816E,214F,］,カクカッコトジ,トジカクカッコ,カクカッコトジ,ダイカッコトジ,終わり大括弧、終わり角括弧,トジカクカッコ,記号,,,,,
816F,2150,｛,チュウカッコ,チュウカッコ,チュウカッコ,チュウカッコヒラキ,始め中括弧、始め波括弧,チュウカッコ,記号,,,,,
8170,2151,｝,チュウカッコトジ,トジチュウカッコ,チュウカッコトジ,チュウカッコトジ,終わり中括弧、終わり波括弧,トジチュウカッコ,記号,,,,,
8171,2152,〈,ヤマカッコ,ヤマカッコ,ヤマカッコ,ヤマカッコ,始め山括弧,ヤマカッコ,記号,,,,,
8172,2153,〉,ヤマカッコトジ,トジヤマカッコ,ヤマカッコトジ,トジヤマカッコ,終わり山括弧,トジヤマカッコ,記号,,,,,
8173,2154,《,ニジュウヤマカッコ,ニジュウヤマカッコ,ニジュウヤマカッコ,ニジュウヤマカッコ,始め二重山括弧,ニジュウヤマカッコ,記号,,,,,
