漢字,田町読み（新しい詳細読み）　ひらがな・漢字
亜,あねったいのあ
唖,あぜんとするのあ
娃,あい，おんなへんにくちふたつ
阿,あみだぶつのあ
哀,きどあいらくのあい，あわれむ
愛,あいするのあい
挨,あいさつするのあい
姶,おんなへんにごうかくのごう
逢,だんじょのあいびきのあい
葵,あおいまつりのあおい
茜,あかねいろのあかね
穐,あき，のぎへんにかめ
悪,ぜんあくのあく，わるい
握,あくりょくのあく，にぎる
渥,あつみはんとうのあつ
旭,きょくじつのきょく，あさひ
葦,あしぶえのあし
芦,あし，くさかんむりにとじまりのと
鯵,あじ，さかなへんにまいる
梓,あずさ，じょうしするのし
圧,あつりょくのあつ
斡,あっせんするのあつ
扱,あつかう
宛,あてなのあて
姐,あねごはだのあね
虻,あぶはちとらずのあぶ
飴,みずあめのあめ
絢,けんらんごうかのけん
綾,あやおりのあや
鮎,あゆ，さかなへんにうらなう
或,あるいはのある
粟,きびあわのあわ
袷,あわせ，ころもへんにごうかくのごう
安,あんしんのあん，やすい
庵,いおり，たくあんのあん
按,あんまのあん
暗,あんきするのあん，くらい
案,あんないのあい
闇,くらやみのやみ
鞍,あんばのあん，くら
杏,あんず，きょうりんのきょう
以,いじょう，いかのい
伊,いせえびのい
位,たんいのい
依,いらいするのい
偉,いだいのい，えらい
囲,いごのい，かこむ
夷,じょういのい，えびす
委,がっきゅういいんのい
威,いげんがあるのい
尉,りくぐんたいいのい
惟,しいのい，りっしんべんにふるとり
意,いみのい
慰,いしゃりょうのい，なぐさめる
易,ぼうえきのえき，やさしい
椅,いすのい
為,こういのい，ため
畏,いふするのい，かしこまる
異,いこくのい，ことなる
移,いどうのい，うつる
維,いじするのい
緯,いどけいどのい
胃,いぶくろのい
萎,いしゅくするのい，なえる
衣,いふくのい，ころも
謂,いわれ，ごんべんにいぶくろい
違,いはんのい，ちがう
遺,いでんのい
医,おいしゃさんのい
井,いどみずのい
亥,い，じゅうにしのいのしし
域,ちいきのいき
育,きょういくのいく，そだてる
郁,ふくいくのいく
磯,いそづりのいそ
一,かんすうじのいち
壱,けいやくしょにつかうすうじのいち
溢,あふれる，のういっけつのいつ
逸,いつだつする
稲,いね，いなさくのいな
茨,いばらきけんのいばら
芋,やきいものいも
鰯,いわし，さかなへんによわい
允,いんかのいん，ゆるす
印,いんさつのいん
咽,じびいんこうかのいん，のど
員,がっきゅういいんのいん
因,げんいんのいん，ちなみに
姻,こんいんのいん
引,いんようするのいん，ひく
飲,みずをのむののむ，いん
淫,いんらんのいん，みだら
胤,ごらくいんのいん，たね
蔭,くさかんむりのかげ
院,にゅういんするのいん
陰,いんきなのいん，かげ
隠,いんきょするのいん，かくれる
韻,よいんがのこるのいん
吋,ながさのたんいのいんち
右,みぎ，さゆうのゆう
宇,うちゅうのう
烏,うごうのしゅうのう，からす
羽,はね，うもうのう
迂,うかいするのう
雨,あめ，うてんのう
卯,う，じゅうにしのうさぎ
鵜,うのみにするのう
窺,あなかんむりのうかがう
丑,うし，じゅうにしのうし
碓,うす，いしへんにふるとり
臼,だっきゅうするのきゅう，うす
渦,うずまきのうず，か
嘘,うそつきのうそ
唄,うた，くちへんにかいがらのかい
欝,ゆううつなのうつ
蔚,くさかんむりにりくぐんたいいのい
鰻,うなぎ
姥,うばざくらのうば
厩,きゅうしゃのきゅう，うまや
浦,つつうらうらのうら
瓜,うり，すいかのか
閏,うるうどしのうるう
噂,うわさばなしのうわさ
云,うんぬんのうん，いう
運,うんどうのうん，はこぶ
雲,くものうえのくも，うん
荏,えごまのえ
