漢字,田町読み（新しい詳細読み）　カタカナ,田町読み（新しい詳細読み）　ひらがな
亜,アネッタイノア,あねったいのあ
唖,アゼントスルノア,あぜんとするのあ
娃,アイ，オンナヘンニクチフタツ,あい，おんなへんにくちふたつ
阿,アミダブツノア,あみだぶつのあ
哀,キドアイラクノアイ，アワレム,きどあいらくのあい，あわれむ
愛,アイスルノアイ,あいするのあい
挨,アイサツスルノアイ,あいさつするのあい
姶,オンナヘンニゴウカクノゴウ,おんなへんにごうかくのごう
逢,ダンジョノアイビキノアイ,だんじょのあいびきのあい
葵,アオイマツリノアオイ,あおいまつりのあおい
茜,アカネイロノアカネ,あかねいろのあかね
穐,アキ，ノギヘンニカメ,あき，のぎへんにかめ
悪,ゼンアクノアク，ワルイ,ぜんあくのあく，わるい
握,アクリョクノアク，ニギル,あくりょくのあく，にぎる
渥,アツミハントウノアツ,あつみはんとうのあつ
旭,キョクジツノキョク，アサヒ,きょくじつのきょく，あさひ
葦,アシブエノアシ,あしぶえのあし
芦,アシ，クサカンムリニトジマリノト,あし，くさかんむりにとじまりのと
鯵,アジ，サカナヘンニマイル,あじ，さかなへんにまいる
梓,アズサ，ジョウシスルノシ,あずさ，じょうしするのし
圧,アツリョクノアツ,あつりょくのあつ
斡,アッセンスルノアツ,あっせんするのあつ
扱,アツカウ,あつかう
宛,アテナノアテ,あてなのあて
姐,アネゴハダノアネ,あねごはだのあね
虻,アブハチトラズノアブ,あぶはちとらずのあぶ
飴,ミズアメノアメ,みずあめのあめ
絢,ケンランゴウカノケン,けんらんごうかのけん
綾,アヤオリノアヤ,あやおりのあや
鮎,アユ，サカナヘンニウラナウ,あゆ，さかなへんにうらなう
或,アルイハノアル,あるいはのある
粟,キビアワノアワ,きびあわのあわ
袷,アワセ，コロモヘンニゴウカクノゴウ,あわせ，ころもへんにごうかくのごう
安,アンシンノアン，ヤスイ,あんしんのあん，やすい
庵,イオリ，タクアンノアン,いおり，たくあんのあん
按,アンマノアン,あんまのあん
暗,アンキスルノアン，クライ,あんきするのあん，くらい
