配当学年,漢字,田町読み（新しい詳細読み）　カタカナ,田町読み（新しい詳細読み）　ひらがな
1,一,カンスウジノイチ,かんすうじのいち
1,右,ミギ，サユウノユウ,みぎ，さゆうのゆう
1,雨,アメ，ウテンノウ,あめ，うてんのう
1,円,ヒャクエンダマノエン,ひゃくえんだまのえん
1,王,オウサマノオウ,おうさまのおう
1,音,オト，オンガクノオン,おと，おんがくのおん
1,下,ジョウゲノゲ，シタ,じょうげのげ，した
1,火,カヨウビノカ，ヒ,かようびのか，ひ
1,花,ハナ，カビンノカ,はな，かびんのか
1,貝,カイガラノカイ,かいがらのかい
1,学,マナブ，ガクシュウノガク,まなぶ，がくしゅうのがく
1,気,クウキノキ,くうきのき
1,九,カンスウジノキュウ,かんすうじのきゅう
1,休,ヤスム，キュウジツノキュウ,やすむ，きゅうじつのきゅう
1,玉,ミズタマノタマ，ギョク,みずたまのたま，ぎょく
1,金,キンヨウビノキン，カネ,きんようびのきん，かね
1,空,クウキノクウ，ソラ,くうきのくう，そら
1,月,ゲツヨウビノゲツ，ツキ,げつようびのげつ，つき
1,犬,イヌ，モウドウケンノケン,いぬ，もうどうけんのけん
1,見,ミル，ケンブツノケン,みる，けんぶつのけん
1,五,カンスウジノゴ,かんすうじのご
1,口,クチブエノクチ，コウ,くちぶえのくち，こう
1,校,ガッコウノコウ,がっこうのこう
1,左,ヒダリ，サユウノサ,ひだり，さゆうのさ
1,三,カンスウジノサン,かんすうじのさん
1,山,ヤマ，サンミャクノサン,やま，さんみゃくのさん
1,子,コドモノコ,こどものこ
1,四,カンスウジノヨン,かんすうじのよん
1,糸,ケイトノイト，シ,けいとのいと，し
1,字,ローマジノジ,ろーまじのじ
1,耳,ミミ，ジビカノジ,みみ，じびかのじ
1,七,カンスウジノナナ,かんすうじのなな
1,車,クルマ，デンシャノシャ,くるま，でんしゃのしゃ
1,手,テアシノテ，シュ,てあしのて，しゅ
1,十,カンスウジノジュウ,かんすうじのじゅう
1,出,デル，ガイシュツノシュツ,でる，がいしゅつのしゅつ
1,女,オンナ，ジョシノジョ,おんな，じょしのじょ
1,小,ダイショウノショウ，チイサイ,だいしょうのしょう，ちいさい
1,上,ジョウゲノジョウ，ウエ,じょうげのじょう，うえ
1,森,シンリンノシン，モリ,しんりんのしん，もり
1,人,ヒト，ニンゲンノニン,ひと，にんげんのにん
1,水,スイヨウビノスイ，ミズ,すいようびのすい，みず
1,正,タダシイ，ショウガツノショウ,ただしい，しょうがつのしょう
1,生,イキル，セイカツノセイ,いきる，せいかつのせい
1,青,アオイ，セイシュンノセイ,あおい，せいしゅんのせい
1,夕,ユウガタノユウ,ゆうがたのゆう
1,石,ホウセキノセキ，イシ,ほうせきのせき，いし
1,赤,アカンボウノアカ，セキ,あかんぼうのあか，せき
1,千,カンスウジノセン,かんすうじのせん
1,川,カセンノセン，カワ,かせんのせん，かわ
1,先,センセイノセン，サキ,せんせいのせん，さき
1,早,ソウチョウノソウ，ハヤイ,そうちょうのそう，はやい
1,草,クサ，ソウゲンノソウ,くさ，そうげんのそう
1,足,アシ，エンソクノソク,あし，えんそくのそく
1,村,ムラ，シチョウソンノソン,むら，しちょうそんのそん
1,大,ダイショウノダイ，オオキイ,だいしょうのだい，おおきい
1,男,オトコ，ダンシノダン,おとこ，だんしのだん
1,竹,タケ，ショウチクバイノチク,たけ，しょうちくばいのちく
1,中,チュウガクノチュウ，ナカ,ちゅうがくのちゅう，なか
1,虫,ムシ，コンチュウノチュウ,むし，こんちゅうのちゅう
1,町,マチ，シチョウソンノチョウ,まち，しちょうそんのちょう
1,天,テンキヨホウノテン,てんきよほうのてん
1,田,スイデンノデン，タ,すいでんのでん，た
1,土,ドヨウビノド，ツチ,どようびのど，つち
1,二,カンスウジノニ,かんすうじのに
1,日,ニチヨウビノニチ，ヒ,にちようびのにち，ひ
1,入,ハイル，ニュウガクノニュウ,はいる，にゅうがくのにゅう
1,年,ガクネンノネン，トシ,がくねんのねん，とし
1,白,シロイ，ハクチョウノハク,しろい，はくちょうのはく
1,八,カンスウジノハチ,かんすうじのはち
1,百,カンスウジノヒャク,かんすうじのひゃく
1,文,サクブンノブン,さくぶんのぶん
1,木,モクヨウビノモク，キ,もくようびのもく，き
1,本,ホンモノノホン，モト,ほんもののほん，もと
1,名,ナマエノナ，メイ,なまえのな，めい
1,目,モクテキノモク，メ,もくてきのもく，め
1,立,ドクリツノリツ，タツ,どくりつのりつ，たつ
1,力,チカラ，タイリョクノリョク,ちから，たいりょくのりょく
1,林,シンリンノリン，ハヤシ,しんりんのりん，はやし
1,六,カンスウジノロク,かんすうじのろく
2,引,インヨウスルノイン，ヒク,いんようするのいん，ひく
2,羽,ハネ，ウモウノウ,はね，うもうのう
2,雲,クモノウエノクモ，ウン,くものうえのくも，うん
2,園,ドウブツエンノエン,どうぶつえんのえん
2,遠,エンソクノエン，トオイ,えんそくのえん，とおい
2,何,ナニモノノナニ,なにもののなに
2,科,キョウカショノカ,きょうかしょのか
2,夏,ナツヤスミノナツ，カ,なつやすみのなつ，か
2,家,イエ，カゾクノカ,いえ，かぞくのか
2,歌,ウタ，カシュノカ,うた，かしゅのか
2,画,ガヨウシノガ,がようしのが
2,回,マワル，カイテンノカイ,まわる，かいてんのかい
2,会,カイシャノカイ，アウ,かいしゃのかい，あう
2,海,ウミ，カイガイノカイ,うみ，かいがいのかい
