漢字,詳細読み(カタカナ),詳細読み(漢字仮名交じり),音読み,,,,,訓読み,,,,,,,,
弌,イチ，カンスウジノイチノイタイジ，シキガマエニイチ,イチ，漢数字の一の異体字，式構えに一,イチ,イツ,,,,ひと,ひと（つ）,,,,,,,
丐,カイ，コウ，アタエルノイミ,カイ，乞う，与えるの意味,カイ,,,,,こ（う）,こじき,,,,,,,
丕,ヒ，フシギノフノシタニカンスウジノイチ,ヒ，不思議のフの下に漢数字の一,ヒ,,,,,,,,,,,,,
个,カ，モノノタンイ，ヤネノシタニタテボウ,カ，物の単位，屋根の下に縦棒,,,,,,,,,,,,,,
丱,カン，アゲマキ,カン，あげまき,カン,ケン,,,,あげまき,おさな（い）,,,,,,,
丶,チュウ，ブンノクギリフゴウ，カタチハテン,チュウ，文の区切り符号，形は点,,,,,,,,,,,,,,
丼,ドンブリ,どんぶり,タン,トン,,,,どんぶり,,,,,,,,
丿,ヘツ，カタカナノノノカタチ,ヘツ，片仮名のノの形,,,,,,,,,,,,,,
乂,ガイ，クサカリノカリノヒダリガワ,ガイ，草刈りのカリの左側,ガイ,,,,,か（る）,おさ（める）,すぐ（れる）,,,,,,
乖,カイリスルノカイ，ソムクノイミ,乖離するのカイ，背くの意味,カイ,,,,,そむ（く）,もと（る）,へだ（たる）,こざか（しい）,,,,,
乘,ジョウシャスルノジョウ，ノルノキュウジ,乗車するのジョウ，乗るの旧字,,,,,,,,,,,,,,
亂,コンランスルノラン，ミダレル,混乱するのラン，乱れるの旧字,,,,,,,,,,,,,,
亅,ケツ，カンジノブシュノハネボウ,ケツ，漢字の部首の跳ね棒,,,,,,,,,,,,,,
豫,ヨテイノヨノキュウジ,予定のヨの旧字,,,,,,,,,,,,,,
亊,ジケンノジ，コトノイタイジ,事件のジ，ことの異体字,,,,,,,,,,,,,,
舒,ジョ，シュクシャノシャノキュウジノミギニヨテイノヨ,ジョ，宿舎のシャの旧字の右に予定のヨ,,,,,,,,,,,,,,
弍,カンスウジノニノイタイジ，シキガマエニニ,漢数字の二の異体字，式構えにニ,ニ,ジ,,,,なら（ぶ）,つ（ぐ）,うたが（う）,,,,,,
于,ウ，ウチュウノウノウカンムリヲトッタモノ,ウ，宇宙のウのウ冠を取ったもの,ウ,ク,,,,ああ,ここ（に）,ゆ（く）,,,,,,
亞,アネッタイノアノキュウジ,亜熱帯のアの旧字,,,,,,,,,,,,,,
亟,キ，ホッキョクノキョクノツクリ,キ，北極のキョクの旁,キョク,キ,,,,すみ（やか）,しばしば,,,,,,,
亠,トウ，ブシュノナベブタ,トウ，部首の鍋蓋,,,,,,,,,,,,,,
亢,コウ，テイコウスルノコウノツクリ,コウ，抵抗するのコウの旁,コウ,,,,,のど,たか（い）,たかぶ（る）,あ（がる）,きわ（める）,あ（たる）,,,
亰,トウキョウノキョウノイタイジ,東京のキョウの異体字,,,,,,,,,,,,,,
亳,ハク，コダイチュウゴクノインノミヤコノヒトツ,ハク，古代中国の殷の都の一つ,,,,,,,,,,,,,,
亶,タン，ブツダンノダンノツクリ,タン，仏壇のダンの旁,タン,セン,,,,あつ（い）,ほしいまま,まこと,もっぱ（ら）,,,,,
从,シタガウノイタイジ，ヒトフタツ,従うの異体字，人二つ,,,,,,,,,,,,,,
仍,ジョウ，ニンベンニノギタイショウノノ,ジョウ，人偏に乃木大将のノ,ジョウ,ニョウ,,,,よ（る）,かさ（なる）,しきり（に）,なお,,,,,
仄,ソクブンスルノソク，ホノカ,仄聞するのソク，ほのか,シキ,ショク,ソク,,,かたわ（ら）,かたむ（く）,そばだ（つ）,ほの（か）,いや（しい）,うらがえ（る）,ほの（めく）,ほの（めかす）,
仆,ボク，ニンベンニウラナウノボク,ボク，人偏に卜うのボク,フ,ホク,,,,たお（れる）,し（ぬ）,,,,,,,
仂,ロク，ニンベンニチカラ,ロク，人偏に力,ロク,リョク,リキ,,,あま（り）,つと（める）,,,,,,,
仗,ギジョウヘイノジョウ,儀仗兵のジョウ,ジョウ,,,,,つわもの,ほこ,まも（り）,よ（る）,,,,,
仞,フカサノタンイノジン，ニンベンニカタナニテン,深さの単位のジン，人偏に刀に点,ジン,,,,,ひろ,はか（る）,,,,,,,
仭,フカサノタンイノジンノイタイジ，ニンベンニヤイバノイタイジ,深さの単位のジンの異体字，人偏に刃の異体字,,,,,,,,,,,,,,
仟,セン，ニンベンニカンスウジノセン,セン，人偏に漢数字の千,セン,,,,,かしら,,,,,,,,
价,カイ，ニンベンニチュウカイスルノカイ,カイ，人偏に仲介するのカイ,カイ,,,,,よ（い）,よろ（う）,,,,,,,
伉,コウ，ニンベンニテイコウスルノコウノツクリ,コウ，人偏に抵抗するのコウの旁,コウ,,,,,たぐい,なら（ぶ）,つよ（い）,おご（る）,,,,,
佚,アンイツノイツ，ニンベンニウシナウ,安佚のイツ，人偏に失う,イツ,テツ,,,,たの（しむ）,やす（んじる）,あそ（ぶ）,のが（れる）,うしな（う）,うつく（しい）,ゆる（い）,たが（いに）,
估,コ，ニンベンニチュウコシャノコ,コ，人偏に中古車のコ,コ,,,,,あたい,あきな（う）,,,,,,,
佛,ブツゾウノブツノキュウジ,仏像のブツの旧字,,,,,,,,,,,,,,
佝,ク，ニンベンニハイクノク,ク，人偏に俳句のク,ク,コウ,,,,ま（がる）,おろ（か）,,,,,,,
佗,タ，ワビ，ニンベンニウカンムリニカタカナノヒ,タ，わび，人偏にウ冠に片仮名のヒ,タ,イ,,,,ほか,にな（う）,みだ（す）,わび,わび（しい）,わ（びる）,,,
佇,チョリツスルノチョ，タタズム,佇立するのチョ，たたずむ,チョ,,,,,たたず（む）,たちど（まる）,ま（つ）,,,,,,
佶,キツ，ニンベンニダイキチノキチ,キチ，人偏に大吉のキチ,キツ,,,,,よ（い）,かた（い）,,,,,,,
侈,シャシニナガレルノシ，ニンベンニオオイスクナイノオオイ,奢侈に流れるのシ，人偏に多い少ないの多い,シ,,,,,おご（る）,ほしいまま,おお（きい）,ひろ（い）,,,,,
侏,シュジュノシュ，ニンベンニシュイロノシュ,侏儒のシュ，人偏に朱色のシュ,シュ,,,,,みじか（い）,,,,,,,,
侘,タ，ワビシイノワビ，ニンベンニジュウタクノタク,人偏に住宅のタク,タ,,,,,ほこ（る）,わ（びる）,わび（しい）,わび,,,,,
佻,ケイチョウフハクノチョウ,軽佻浮薄のチョウ,チョウ,,,,,かる（い）,かるがるしい,,,,,,,
佩,ハイヨウスルノハイ，オビル,佩用するのハイ，おびる,ハイ,,,,,おびだま,お（びる）,は（く）,,,,,,
佰,ハク，ニンベンニカンスウジノヒャク,ハク，人偏に漢数字の百,ハク,ヒャク,,,,おさ,,,,,,,,
侑,ユウ，ニンベンニユウメイジンノユウ,ユウ，人偏に有名人のユウ,ウ,ユウ,,,,すす（める）,むく（いる）,たす（ける）,ゆる（す）,,,,,
佯,ヨウ，ニンベンニドウブツノヒツジ,ヨウ，人偏に動物の羊,ヨウ,,,,,いつわ（る）,さまよ（う）,,,,,,,
來,ライネンノライ，クルノキュウジ,来年のライ，来るの旧字,,,,,,,,,,,,,,
侖,リン，シャリンノリンノツクリ,リン，車輪のリンの旁,ロン,リン,,,,おも（う）,つい（ずる）,,,,,,,
儘,ワガママノママ，ジン,我儘のママ，ジン,,,,,,,,,,,,,,
俔,ケン，ニンベンニケンブツスルノケン,ケン，人偏に見物するのケン,ケン,,,,,うかが（う）,しの（び）,,,,,,,
俟,シ，マツ，ニンベンニカタカナノムノシタニユミヤノヤ,シ，まつ，人偏に片仮名のムの下に弓矢のヤ,シ,,,,,ま（つ）,,,,,,,,
俎,マナイタ，ソジョウノソ,まないた，俎上のソ,ショ,ソ,,,,まないた,,,,,,,,
俘,トリコ，フリョノフ,とりこ，俘虜のフ,フ,,,,,とりこ,と（る）,,,,,,,
俛,ベン，ニンベンニメンキョノメン,ベン，人偏に免許のメン,ベン,メン,フ,,,ふ（せる）,,,,,,,,
俑,ヘイバヨウノヨウ,兵馬俑のヨウ,ヨウ,トウ,,,,ひとがた,いた（む）,,,,,,,
俚,リゲンノリ，ニンベンニサトガエリノサト,俚諺のリ，人偏に里帰りのサト,リ,,,,,いや（しい）,ひな,,,,,,,
俐,レイリノリ，ニンベンニケンリノリ,伶俐のリ，人偏に権利のリ,リ,,,,,かしこ（い）,さか（しい）,,,,,,,
俤,オモカゲ，ニンベンニオトウト,おもかげ，人偏に弟,,,,,,おもかげ,,,,,,,,
俥,クルマ，ニンベンニデンシャノシャ,くるま，人偏に電車のシャ,,,,,,くるま,,,,,,,,
倚,イ，ニンベンニキミョウナノキ,イ，人偏に奇妙なのキ,イ,キ,,,,よ（る）,たの（む）,,,,,,,
倨,キョゴウノキョ，ニンベンニジュウキョノキョ,キョゴウ，人偏に住居のキョ,キョ,,,,,おご（る）,,,,,,,,
倔,クツ，ニンベンニリクツノクツ,クツ，人偏に理屈のクツ,クツ,,,,,つよ（い）,,,,,,,,
倪,タンゲイノゲイ，ニンベンニヌラムノツクリ,端倪のゲイ，人偏に睨むの旁,ゲイ,,,,,かよわ（い）,ながしめ,きわ,,,,,,
倥,コウ，ニンベンニクウキノクウ,コウ，人偏に空気のクウ,コウ,,,,,おろ（か）,いそが（しい）,ぬか（る）,,,,,,
